City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,ulsteinvik,62.3432,5.8487,3.75,74,100,0.89,NO,1738416683
116,stanley,54.868,-1.6985,6.01,77,0,5.66,GB,1738416684
117,perelyub,51.8667,50.3667,0.65,100,100,2.65,RU,1738416685
118,birao,10.2849,22.7882,35.35,10,3,3.99,CF,1738416686
119,aasiaat,68.7098,-52.8699,-13.75,95,100,6.45,GL,1738416688
120,wailua homesteads,22.0669,-159.378,16.44,94,0,3.6,US,1738416689
121,invercargill,-46.4,168.35,12.23,92,69,0.89,NZ,1738416690
122,saint george's,12.0564,-61.7485,28.82,70,20,7.72,GD,1738416692
123,saipan,15.1355,145.701,26.39,90,100,7.2,MP,1738416693
124,puerto deseado,-47.7503,-65.8938,18.77,42,100,10.74,AR,1738416679
125,freetown,8.484,-13.2299,30.72,45,96,4.43,SL,1738416695
126,labasa,-16.4167,179.3833,25.55,88,100,2.45,FJ,1738416696
127,zelenoborskiy,66.845,32.3622,-4.0,97,100,2.47,RU,1738416697
128,natal,-5.795,-35.2094,30.36,62,75,7.2,BR,1738416606
129,kodiak,57.79,-152.4072,0.73,80,0,2.57,US,1738416514
130,carnarvon,-24.8667,113.6333,29.01,64,11,11.8,AU,1738416701
131,boguchany,58.3814,97.4531,-30.89,100,13,0.53,RU,1738416702
132,atafu village,-8.5421,-172.5159,27.74,78,82,6.1,TK,1738416704
133,san juan,-31.5375,-68.5364,32.22,31,0,3.49,AR,1738416705
134,lorengau,-2.0226,147.2712,27.9,79,72,2.57,PG,1738416706
135,ilulissat,69.2167,-51.1,-7.99,86,75,3.09,GL,1738416707
136,kasongo-lunda,-6.4667,16.8167,32.35,45,99,1.52,CD,1738416708
137,paradip garh,20.3167,86.6167,24.62,80,5,4.93,IN,1738416710
138,dalandzadgad,43.5708,104.425,-13.52,82,45,3.48,MN,1738416711
139,puerto real,36.5282,-6.1901,15.14,67,0,4.12,ES,1738416712
140,faranah,10.0404,-10.7434,34.51,8,78,2.74,GN,1738416713
141,arkalyk,50.2486,66.9114,-3.41,97,100,5.66,KZ,1738416716
142,kannur,11.8675,75.3576,27.21,73,89,3.26,IN,1738416717
143,north fond du lac,43.8114,-88.4834,-9.32,73,0,4.12,US,1738416718
144,thompson,55.7435,-97.8558,-31.91,75,75,0.0,CA,1738416719
145,tazovsky,67.4667,78.7,-27.89,94,93,4.05,RU,1738416721
146,parras de la fuente,25.4167,-102.1833,9.36,52,66,3.01,MX,1738416722
147,san antonio de pale,-1.4014,5.6325,27.82,77,52,4.2,GQ,1738416723
148,holualoa,19.6228,-155.9522,21.04,86,75,3.6,US,1738416724
149,sao jose da coroa grande,-8.8978,-35.1478,29.1,64,26,3.14,BR,1738416727
150,lashkar gah,31.5938,64.3716,9.67,31,0,2.62,AF,1738416728
151,klyuchi,52.2667,79.1667,-12.94,88,100,5.95,RU,1738416729
152,balykshi,47.0667,51.8667,4.0,70,0,4.0,KZ,1738416730
153,buinsk,54.95,48.2833,1.13,91,100,3.14,RU,1738416731
154,maine soroa,13.2114,12.0241,31.17,10,57,3.12,NE,1738416732
155,bac lieu,9.285,105.7244,24.78,77,100,2.88,VN,1738416734
156,ilha de mocambique,-15.0342,40.7358,28.63,81,100,3.01,MZ,1738416735
157,east london,-33.0153,27.9116,24.59,64,25,4.08,ZA,1738416701
158,yung shue wan,22.2333,114.1167,21.68,82,27,3.47,HK,1738416738
159,isoka,-10.1606,32.6335,23.57,71,100,0.68,ZM,1738416739
160,selfoss,63.9331,-20.9971,5.02,73,100,12.65,IS,1738416740
161,grootfontein,-19.5667,18.1167,32.0,18,0,2.62,NA,1738416742
162,pristen',51.2355,36.6959,3.15,97,100,3.35,RU,1738416743
163,kununurra,-15.7667,128.7333,29.99,79,78,3.09,AU,1738416744
164,tari,-11.1105,14.3559,25.39,60,82,2.7,AO,1738416745
165,callao,-12.0667,-77.15,24.29,88,75,2.06,PE,1738416534
166,crystal city,28.6775,-99.8281,1.06,86,0,0.0,US,1738416748
167,eyl,7.9803,49.8164,25.03,65,95,10.87,SO,1738416749
168,vaijapur,19.9167,74.7333,26.94,28,0,3.15,IN,1738416750
169,ola,59.5833,151.2833,-25.66,83,9,3.91,RU,1738416751
170,selibaby,15.159,-12.1829,30.98,5,0,6.61,MR,1738416753
171,kenton,38.9501,-84.5333,-0.46,71,0,4.63,US,1738416754
172,vadso,70.0744,29.7487,1.09,93,75,8.75,NO,1738416755
173,port alfred,-33.5906,26.891,26.21,75,2,0.89,ZA,1738416756
174,ugoofaaru,5.6667,73.0,27.78,75,78,4.01,MV,1738416758
175,blythe,33.6103,-114.5964,6.25,52,0,2.57,US,1738416759
176,san patricio,28.017,-97.5169,6.97,46,0,1.25,US,1738416760
177,xilin hot,43.9667,116.0333,-15.91,94,99,2.29,CN,1738416761
178,griffith,41.5284,-87.4237,-0.89,71,75,6.17,US,1738416762
179,howard springs,-12.497,131.047,29.95,93,100,3.12,AU,1738416763
180,jiagedaqi,50.4167,124.1167,-28.94,100,66,1.23,CN,1738416765
181,island harbour,50.724,-1.2758,7.23,87,100,3.13,GB,1738416767
182,whitehorse,60.7161,-135.0538,-27.57,76,75,3.09,CA,1738416769
183,kavaratti,10.5669,72.642,28.09,74,100,2.21,IN,1738416770
184,aginskoye,51.1,114.53,-27.15,94,24,3.09,RU,1738416771
185,qaqortoq,60.7167,-46.0333,-11.16,78,99,3.53,GL,1738416772
186,suva,-18.1416,178.4415,23.71,100,75,2.06,FJ,1738416774
187,sao bento do sul,-26.2503,-49.3786,21.24,99,52,0.64,BR,1738416776
188,samitah,16.596,42.9444,27.84,58,11,4.89,SA,1738416778
189,pyapon,16.2833,95.6833,23.43,58,100,2.39,MM,1738416779
190,bubaque,11.2833,-15.8333,26.92,49,0,7.06,GW,1738416780
191,kirakira,-10.4544,161.9205,25.63,96,100,6.94,SB,1738416781
192,minot air force base,48.4209,-101.3391,-10.9,79,100,7.72,US,1738416758
193,vilyuchinsk,52.9306,158.4028,-6.85,81,100,4.61,RU,1738416783
194,goure,13.9835,10.2704,30.07,7,52,3.98,NE,1738416785
195,urrao,6.3152,-76.1342,19.46,76,89,0.22,CO,1738416786
196,ribeira grande,38.5167,-28.7,17.22,59,20,5.81,PT,1738416787
197,amahai,-3.3333,128.9167,24.5,92,100,0.38,ID,1738416788
198,fauske,67.2588,15.3918,-2.38,90,70,1.5,NO,1738416790
199,al ghayzah,16.2079,52.176,23.54,45,0,4.37,YE,1738416791
200,alice springs,-23.7,133.8833,30.75,15,1,1.54,AU,1738416792
201,toktogul,41.8708,72.9402,-6.59,69,7,1.65,KG,1738416793
202,brokopondo,4.75,-55.1667,26.87,67,38,4.15,SR,1738416794
203,constantia,44.1833,28.65,9.38,78,84,6.03,RO,1738416796
204,hammerfest,70.6634,23.6821,0.25,93,75,1.03,NO,1738416797
205,barranca,-10.75,-77.7667,22.06,79,100,1.85,PE,1738416680
206,dallas,32.7668,-96.7836,7.08,77,0,1.54,US,1738416171
207,geraldton,-28.7667,114.6,24.23,78,0,6.17,AU,1738416800
208,quezon,7.7303,125.0989,22.63,88,100,1.93,PH,1738416801
209,rio grande,-32.035,-52.0986,25.35,63,0,0.86,BR,1738416803
210,priargunsk,50.3691,119.1012,-36.11,100,73,0.21,RU,1738416804
211,nova sintra,14.8667,-24.7167,22.71,67,0,10.15,CV,1738416805
212,motygino,58.1831,94.7592,-32.19,100,17,1.37,RU,1738416806
213,praia da vitoria,38.7333,-27.0667,17.14,67,40,6.32,PT,1738416808
214,benghazi,32.1167,20.0667,18.98,45,2,6.84,LY,1738416810
215,talnakh,69.4865,88.3972,-28.91,96,17,1.51,RU,1738416811
216,akureyri,65.6835,-18.0878,5.96,70,75,11.83,IS,1738416812
217,kuqa,41.7278,82.9364,-8.0,76,0,2.06,CN,1738416815
218,pitimbu,-7.4706,-34.8086,29.26,62,54,4.12,BR,1738416816
219,mocimboa,-11.3167,40.35,30.71,64,100,3.99,MZ,1738416817
220,al jawf,29.5,38.75,14.89,36,5,5.18,SA,1738416818
221,fale old settlement,-9.3852,-171.2468,27.6,80,96,6.21,TK,1738416820
222,la ronge,55.1001,-105.2842,-20.86,77,100,5.66,CA,1738416821
223,tucumcari,35.1717,-103.725,1.91,38,0,7.2,US,1738416822
224,constitucion,-35.3333,-72.4167,21.65,54,0,4.07,CL,1738416823
225,katabu,-4.9333,122.5167,24.7,93,100,1.45,ID,1738416824
226,buka,40.8108,69.1986,3.33,52,0,2.83,UZ,1738416826
227,togur,58.3631,82.8265,-19.48,97,100,2.59,RU,1738416827
228,whangarei,-35.7317,174.3239,15.43,98,43,1.16,NZ,1738416828
229,flin flon,54.7682,-101.865,-20.09,71,100,3.09,CA,1738416829
230,yabelo,4.8833,38.0833,26.9,18,1,3.65,ET,1738416830
231,ciudad madero,22.2667,-97.8333,17.81,88,75,0.0,MX,1738416831
232,grande prairie,55.1667,-118.8027,-24.9,70,100,4.12,CA,1738416833
233,ingeniero jacobacci,-41.3427,-69.5448,20.61,31,0,5.64,AR,1738416834
234,buritis,-15.6178,-46.4233,22.32,90,100,0.55,BR,1738416835
235,fort bragg,35.139,-79.006,11.91,91,0,2.57,US,1738416836
236,rongelap,11.1635,166.8941,26.33,74,41,7.91,MH,1738416837
237,villa jaragua,18.4908,-71.4838,26.34,70,20,2.51,DO,1738416839
238,shunyi,40.125,116.6453,-3.03,68,20,1.0,CN,1738416840
239,kourou,5.1552,-52.6478,27.74,67,28,4.42,GF,1738416841
240,emerald,-23.5333,148.1667,24.43,100,100,7.31,AU,1738416842
241,naushahra virkan,31.9628,73.9723,16.44,26,0,1.0,PK,1738416843
242,yarmouth,41.7057,-70.2286,2.03,95,100,12.07,US,1738416844
243,chibougamau,49.9168,-74.3659,-26.21,84,100,4.63,CA,1738416846
244,ramadi,33.4226,43.3058,16.41,27,0,4.59,IQ,1738416847
245,loch garman,52.3342,-6.4575,9.94,100,100,6.26,IE,1738416848
246,franceville,-1.6333,13.5836,31.25,62,40,1.39,GA,1738416849
247,port macquarie,-31.4333,152.9167,21.15,90,14,1.95,AU,1738416851
248,dudinka,69.4058,86.1778,-32.08,100,31,1.5,RU,1738416853
249,belozersk,60.0326,37.7957,1.19,99,100,3.13,RU,1738416854
